Codcli;codcont;dtinicio;dtfim;Fechado;Placa;Cor;Modelo;vlperiodo;vlperiodoseg;pertarifa;vlloc
77;2705;22/12/2022;23/12/2022;Sim;QQS9964;Branco;Ka 1.0 Ticvt Flex 8v 5p;89;28;1;117
77;2707;28/12/2022;28/12/2022;Sim;QUB6448;Branco;Fiat Strada Working Hard 1.4 Fire Flex 8V;133;39;1;172
77;2813;13/01/2023;14/01/2023;Sim;QUB6448;Branco;Fiat Strada Working Hard 1.4 Fire Flex 8V;250;39;1;289
63;2033;17/06/2022;19/07/2022;Sim;QOV8599;Branco;Ka + Sedan 1.5 16v Flex 4p;2500;177;30;2677
47;1596;03/03/2022;03/04/2022;Sim;QUB6267;Branco;Fiat Strada Working Hard 1.4 Fire Flex 8V;2000;255;30;2255
47;1816;25/04/2022;03/06/2022;Sim;QUB6267;Branco;Fiat Strada Working Hard 1.4 Fire Flex 8V;2000;255;30;2255
68;2250;26/08/2022;21/11/2022;Sim;QQS9966;Branco;Ka 1.0 Ticvt Flex 8v 5p;2070;255;30;2325
76;2704;22/12/2022;23/12/2022;Sim;QUB6448;Branco;Fiat Strada Working Hard 1.4 Fire Flex 8V;225;39;1;264
94;3082;06/04/2023;18/04/2023;Não;QOV8599;Branco;Ka + Sedan 1.5 16v Flex 4p;1490;39;12;1958
10;354;21/12/2020;29/12/2020;Sim;QNZ0241;Branco;Ka 1.0 Ticvt Flex 8v 5p;125;28;1;153
69;2354;15/09/2022;15/12/2022;Sim;QQS7867;Branco;Ka 1.0 Ticvt Flex 8v 5p;1800;177;30;1977
40;1326;18/11/2021;01/12/2021;Sim;PZM6980;Branco;Ka 1.0 Ticvt Flex 8v 5p;264;28;4;376
40;2702;30/11/2022;14/01/2023;Sim;QOV8592;Branco;Ka 1.0 Ticvt Flex 8v 5p;82;28;1;110
40;2590;22/11/2022;26/11/2022;Sim;QQS9966;Branco;Ka 1.0 Ticvt Flex 8v 5p;440;28;4;552
40;2593;30/11/2022;17/12/2022;Sim;QQS9966;Branco;Ka 1.0 Ticvt Flex 8v 5p;396;28;4;508
40;2469;24/10/2022;31/10/2022;Sim;QUB6250;Branco;Fiat Uno Vivace 1.0 Fire Flex 8V 4P;396;28;4;508
64;2246;05/08/2022;11/08/2022;Sim;QQS7853;Branco;Ka 1.0 Ticvt Flex 8v 5p;2070;177;30;2247
88;2939;18/02/2023;22/02/2023;Não;QNV6811;Branco;Ka + Sedan 1.5 16v Flex 4p;1170;39;12;1638
88;2938;18/02/2023;18/02/2023;Sim;QOV8592;Branco;Ka 1.0 Ticvt Flex 8v 5p;126;28;3;210
84;2889;07/02/2023;14/02/2023;Sim;QOV8592;Branco;Ka 1.0 Ticvt Flex 8v 5p;91;28;1;119
83;2821;31/01/2023;03/03/2023;Sim;QOV8599;Branco;Ka + Sedan 1.5 16v Flex 4p;1965;255;30;2220
91;3061;24/03/2023;27/03/2023;Não;QXJ0363;Branco;Onix Hatch 1.0  8v Flex Power 5p;324;28;3;408
74;2596;02/12/2022;02/01/2023;Sim;QQS7853;Branco;Ka 1.0 Ticvt Flex 8v 5p;2050;177;30;2227
41;1414;08/12/2021;08/01/2022;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250;177;30;1427
41;1503;08/01/2022;08/02/2022;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250;177;30;1427
41;1590;08/02/2022;08/03/2022;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250;177;30;1427
41;1714;08/03/2022;08/03/2022;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250;177;30;1427
61;1968;03/06/2022;04/07/2022;Sim;QQS7869;Branco;Ka 1.0 Ticvt Flex 8v 5p;2250;177;30;2427
32;1149;16/09/2021;20/09/2021;Sim;PZM6980;Branco;Ka 1.0 Ticvt Flex 8v 5p;576;28;4;688
32;1594;25/02/2022;02/03/2022;Sim;QQS7860;Branco;Ka 1.0 Ticvt Flex 8v 5p;670;28;3;754
26;1103;01/09/2021;10/09/2021;Sim;QNE2903;Branco;Ka 1.0 Ticvt Flex 8v 5p;1588;177;30;1765
26;979;14/07/2021;16/08/2021;Sim;QNW0305;Branco;Ka + Sedan 1.5 16v Flex 4p;1620;255;30;1875
26;1148;01/09/2021;26/10/2021;Sim;QNY5609;Branco;Ka 1.0 Ticvt Flex 8v 5p;1588;177;30;1765
92;3062;28/03/2023;29/03/2023;Sim;QQS7853;Branco;Ka 1.0 Ticvt Flex 8v 5p;89;28;1;117
80;2814;13/01/2023;23/01/2023;Sim;QOV8599;Branco;Ka + Sedan 1.5 16v Flex 4p;1170;39;12;1638
80;2937;16/02/2023;24/02/2023;Sim;QUB6448;Branco;Fiat Strada Working Hard 1.4 Fire Flex 8V;223;39;1;262
89;2942;24/02/2023;27/02/2023;Não;RGC2E01;Prata;Hb20 Sense 1.0 Flex;115;28;1;143
38;1238;26/10/2021;30/10/2021;Sim;QNY5609;Branco;Ka 1.0 Ticvt Flex 8v 5p;616;28;4;728
46;1595;02/03/2022;04/04/2022;Sim;QNV0923;Branco;Ka + Sedan 1.5 16v Flex 4p;2752;177;30;2929
36;1236;13/10/2021;14/10/2021;Sim;QNY5612;Branco;Ka 1.0 Ticvt Flex 8v 5p;154;28;4;266
78;2820;30/01/2023;31/01/2023;Sim;QOV8613;Branco;Ka 1.0 Ticvt Flex 8v 5p;154;28;3;238
78;2706;26/12/2022;26/12/2022;Sim;QQS7867;Branco;Ka 1.0 Ticvt Flex 8v 5p;126;28;1;154
73;2816;23/01/2023;26/01/2023;Sim;QQS9966;Branco;Ka 1.0 Ticvt Flex 8v 5p;616;28;4;728
73;2588;14/11/2022;14/12/2022;Sim;QXI8104;Branco;Chev/Onix 10tat Ltz;92;28;1;120
73;2472;03/11/2022;04/11/2022;Sim;QQS7869;Branco;Ka 1.0 Ticvt Flex 8v 5p;1588;177;30;1765
73;2524;03/11/2022;14/11/2022;Sim;QXI8104;Branco;Onix Hatch 1.0  8v Flex Power 5p;2350;177;30;2527
56;1920;09/05/2022;09/06/2022;Sim;QOV8613;Branco;Ka 1.0 Ticvt Flex 8v 5p;2050;177;30;2227
56;2027;09/06/2022;12/01/2023;Sim;QOV8613;Branco;Ka 1.0 Ticvt Flex 8v 5p;2050;177;30;2227
12;1504;12/01/2022;27/01/2022;Sim;QNF9858;Branco;Ka 1.0 Ticvt Flex 8v 5p;2050;177;30;2227
12;357;29/12/2020;27/01/2021;Sim;QNZ0241;Branco;Ka 1.0 Ticvt Flex 8v 5p;2050;177;30;2227
62;2932;10/02/2023;10/03/2023;Não;QQI3332;Branco;Saveiro Robust 1.6 Total Flex 8V;2820;255;30;3075
62;2933;10/02/2023;10/03/2023;Não;QQI3320;Branco;Saveiro Robust 1.6 Total Flex 8V;2000;255;30;2255
62;2030;10/06/2022;10/07/2022;Sim;QQS7867;Branco;Ka 1.0 Ticvt Flex 8v 5p;1980;177;30;2157
87;2936;16/02/2023;17/02/2023;Sim;QOV8592;Branco;Ka 1.0 Ticvt Flex 8v 5p;89;28;1;117
87;3057;15/03/2023;28/03/2023;Sim;QQS7853;Branco;Ka 1.0 Ticvt Flex 8v 5p;89;28;1;117
87;3063;03/04/2023;06/04/2023;Sim;QQS7853;Branco;Ka 1.0 Ticvt Flex 8v 5p;89;28;1;117
86;2934;13/02/2023;14/02/2023;Sim;QUB6448;Branco;Fiat Strada Working Hard 1.4 Fire Flex 8V;223;39;1;262
70;2467;13/10/2022;14/10/2022;Sim;QQS9964;Branco;Ka 1.0 Ticvt Flex 8v 5p;125;28;1;153
11;356;03/01/2021;04/01/2021;Sim;PZM6980;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250;177;30;1427
11;1109;03/09/2021;08/09/2021;Sim;PZM6980;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250;177;30;1427
11;506;12/02/2021;17/02/2021;Sim;QNF9858;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250;177;30;1427
49;1719;08/03/2022;08/04/2022;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250;177;30;1427
49;1809;08/04/2022;08/05/2022;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250;177;30;1427
49;1923;08/05/2022;08/06/2022;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250;177;30;1427
49;2026;08/06/2022;08/07/2022;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250;177;30;1427
49;2135;08/07/2022;20/07/2022;Sim;QQS7857;Branco;Ka 1.0 Ticvt Flex 8v 5p;1250;177;30;1427
82;2817;26/01/2023;07/02/2023;Sim;QOV8592;Branco;Ka 1.0 Ticvt Flex 8v 5p;97;28;1;125
82;3018;10/03/2023;13/03/2023;Sim;QOV8592;Branco;Ka 1.0 Ticvt Flex 8v 5p;126;28;3;210
95;3081;06/04/2023;10/04/2023;Sim;QQS7853;Branco;Ka 1.0 Ticvt Flex 8v 5p;125;28;1;153
48;1597;04/03/2022;07/03/2022;Sim;QNY5609;Branco;Ka 1.0 Ticvt Flex 8v 5p;345;28;3;429
29;1063;12/08/2021;20/08/2021;Sim;PZM6980;Branco;Ka 1.0 Ticvt Flex 8v 5p;350;28;4;462
39;1323;05/11/2021;08/11/2021;Sim;PZM6980;Branco;Ka 1.0 Ticvt Flex 8v 5p;300;28;4;412
39;1921;10/05/2022;11/05/2022;Sim;QQS7860;Branco;Ka 1.0 Ticvt Flex 8v 5p;154;28;3;238
42;1416;18/12/2021;18/01/2022;Sim;PZM6980;Branco;Ka 1.0 Ticvt Flex 8v 5p;2190;177;30;2367
37;1237;18/10/2021;12/11/2021;Sim;QOV8619;Branco;Ka 1.0 Ticvt Flex 8v 5p;1600;177;30;1777
9;266;05/11/2020;18/03/2021;Sim;PZM6966;Branco;Ka 1.0 Ticvt Flex 8v 5p;1480;177;30;1657
9;648;05/11/2020;13/10/2021;Sim;QNY5612;Branco;Ka 1.0 Ticvt Flex 8v 5p;1480;177;30;1657
67;2248;12/08/2022;15/08/2022;Sim;QQS7867;Branco;Ka 1.0 Ticvt Flex 8v 5p;385;28;3;469
79;2778;11/01/2023;11/03/2023;Sim;QQS7853;Branco;Ka 1.0 Ticvt Flex 8v 5p;2050;177;30;2227
